,state,x,y
0,Andhra Pradesh,-90,-229
1,Arunachal Pradesh,300,143
2,Assam,261,83
3,Bihar,96,58
4,Chhattisgarh,-13,-44
5,Goa,-212,-215
6,Gujarat,-264,-5
7,Haryana,-165,158
8,Himachal Pradesh,-140,244
9,Jammu And Kashmir,-164,313
10,Jharkhand,67,6
11,Karnataka,-179,-231
12,Kerala,-152,-356
13,Madhya Pradesh,-120,-10
14,Maharashtra,-186,-117
15,Manipur,300,38
16,Meghalaya,212,44
17,Mizoram,265,-0
18,Nagaland,306,73
19,Odisha,56,-69
20,Punjab,-185,211
21,Rajasthan,-217,93
22,Sikkim,142,117
23,Tamil Nadu,-102,-335
24,Telangana,-87,-149
25,Tripura,220,0
26,Uttarakhand,-79,188
27,Uttar Pradesh,-65,96
28,West Bengal,139,-8
29,Andaman And Nicobar Islands,254,-334
30,Delhi,-128,149
31,Lakshadweep,-251,-333
32,Puducherry,-66,-303
